Date,Close,Volume,Ticker
2022-04-12,21.290000915527344,21902600,LCID
2022-04-13,22.049999237060547,22126100,LCID
2022-04-14,21.010000228881836,18858000,LCID
2022-04-18,20.31999969482422,21821400,LCID
2022-04-19,21.40999984741211,18312700,LCID
2022-04-20,20.8700008392334,13957000,LCID
2022-04-21,19.549999237060547,23924900,LCID
2022-04-22,19.110000610351562,22323900,LCID
2022-04-25,19.329999923706055,23859400,LCID
2022-04-26,17.639999389648438,39892400,LCID
2022-04-27,18.06999969482422,29054500,LCID
2022-04-28,18.889999389648438,25110300,LCID
2022-04-29,18.079999923706055,19048200,LCID
2022-05-02,19.059999465942383,19301500,LCID
2022-05-03,19.600000381469727,16090800,LCID
2022-05-04,20.260000228881836,20505900,LCID
2022-05-05,18.850000381469727,22846500,LCID
2022-05-06,18.149999618530273,25371700,LCID
2022-05-09,16.350000381469727,41346700,LCID
2022-05-10,15.949999809265137,31561900,LCID
2022-05-11,13.859999656677246,44037600,LCID
2022-05-12,15.6899995803833,42817000,LCID
2022-05-13,18.010000228881836,38888100,LCID
2022-05-16,17.360000610351562,18649800,LCID
2022-05-17,17.850000381469727,18908000,LCID
2022-05-18,17.360000610351562,22487200,LCID
2022-05-19,19.270000457763672,39616400,LCID
2022-05-20,18.389999389648438,28540900,LCID
2022-05-23,18.399999618530273,15852300,LCID
2022-05-24,17.100000381469727,18049800,LCID
2022-05-25,17.450000762939453,18661600,LCID
2022-05-26,18.889999389648438,25111700,LCID
2022-05-27,19.829999923706055,19140000,LCID
2022-05-31,20.18000030517578,24021300,LCID
2022-06-01,19.5,15746900,LCID
2022-06-02,19.959999084472656,15584200,LCID
2022-06-03,18.670000076293945,18106400,LCID
2022-06-06,19.149999618530273,15920900,LCID
2022-06-07,18.959999084472656,12598000,LCID
2022-06-08,19.59000015258789,15619300,LCID
2022-06-09,18.8799991607666,16010800,LCID
2022-06-10,18.020000457763672,14364300,LCID
2022-06-13,16.309999465942383,18563800,LCID
2022-06-14,16.600000381469727,15723100,LCID
2022-06-15,17.520000457763672,17671300,LCID
2022-06-16,15.550000190734863,19089800,LCID
2022-06-17,16.6299991607666,24022500,LCID
2022-06-21,17.899999618530273,21750400,LCID
2022-06-22,18.030000686645508,14301300,LCID
2022-06-23,19.299999237060547,24147000,LCID
2022-06-24,19.209999084472656,50086000,LCID
2022-06-27,18.389999389648438,16882600,LCID
2022-06-28,17.940000534057617,11466100,LCID
2022-06-29,17.299999237060547,10918300,LCID
2022-06-30,17.15999984741211,13188800,LCID
2022-07-01,17.0,14070900,LCID
2022-07-05,17.229999542236328,14868300,LCID
2022-07-06,18.219999313354492,21390600,LCID
2022-07-07,19.809999465942383,19510400,LCID
2022-07-08,19.989999771118164,24337200,LCID
2022-07-11,18.530000686645508,11665000,LCID
2022-07-12,19.329999923706055,12437500,LCID
2022-07-13,19.510000228881836,12273100,LCID
2022-07-14,20.110000610351562,12948500,LCID
2022-07-15,19.68000030517578,13935400,LCID
2022-07-18,19.959999084472656,17273800,LCID
2022-07-19,20.3799991607666,11280300,LCID
2022-07-20,21.270000457763672,15250100,LCID
2022-07-21,21.479999542236328,15841800,LCID
2022-07-22,19.68000030517578,13990400,LCID
2022-07-25,18.739999771118164,11591200,LCID
