ticker,date,company,industry,sector,exchange
MELR,7/12/22,Melrose Bancorp Inc.,Banks,Financial Services,NASDAQ Capital Market
MEN,7/12/22,Blackrock MuniEnhanced Fund Inc,Asset Management,Financial Services,New York Stock Exchange
MEOH,7/12/22,Methanex Corporation,Chemicals,Basic Materials,Nasdaq Global Select
MERC,7/12/22,Mercer International Inc.,Forest Products,Basic Materials,Nasdaq Global Select
MESA,7/12/22,Mesa Air Group Inc.,Airlines,Industrials,Nasdaq Global Select
MESO,7/12/22,Mesoblast Limited,Biotechnology,Healthcare,Nasdaq Global Select
MET,7/12/22,MetLife Inc.,Insurance - Life,Financial Services,New York Stock Exchange
METC,7/12/22,Ramaco Resources Inc.,Coal,Basic Materials,Nasdaq Global Select
MFA,7/12/22,MFA Financial Inc.,REITs,Real Estate,New York Stock Exchange
MFAC,7/12/22,Megalith Financial Acquisition Corp. Class A,Asset Management,Financial Services,New York Stock Exchange
MFC,7/12/22,Manulife Financial Corporation,Insurance - Life,Financial Services,New York Stock Exchange
MFCB,7/12/22,MFC Bancorp Ltd.,Asset Management,Financial Services,New York Stock Exchange
MFD,7/12/22,Macquarie First Trust Global,Asset Management,Financial Services,New York Stock Exchange
MFG,7/12/22,Mizuho Financial Group Inc. Sponosred ADR (Japan),Banks,Financial Services,New York Stock Exchange
MFGP,7/12/22,Micro Focus Intl PLC ADS each representing One Ord Sh,Application Software,Technology,New York Stock Exchange
MFIN,7/12/22,Medallion Financial Corp.,Credit Services,Financial Services,Nasdaq Global Select
MFL,7/12/22,Blackrock MuniHoldings Investment Quality Fund of Beneficial Interest,Asset Management,Financial Services,New York Stock Exchange
MFM,7/12/22,MFS Municipal Income Trust,Asset Management,Financial Services,New York Stock Exchange
MFNC,7/12/22,Mackinac Financial Corporation,Banks,Financial Services,NASDAQ Capital Market
MFSF,7/12/22,MutualFirst Financial Inc.,Banks,Financial Services,NASDAQ Global Market
MFT,7/12/22,Blackrock MuniYield Investment Quality Fund of Beneficial Interest,Asset Management,Financial Services,New York Stock Exchange
MFV,7/12/22,MFS Special Value Trust,Asset Management,Financial Services,New York Stock Exchange
MG,7/12/22,Mistras Group Inc,Consulting & Outsourcing,Industrials,New York Stock Exchange
MGA,7/12/22,Magna International Inc.,Autos,Consumer Cyclical,New York Stock Exchange
MGEE,7/12/22,MGE Energy Inc.,Utilities - Regulated,Utilities,Nasdaq Global Select
MGEN,7/12/22,Miragen Therapeutics Inc.,Medical Diagnostics & Research,Healthcare,NASDAQ Capital Market
MGF,7/12/22,MFS Government Markets Income Trust,Asset Management,Financial Services,New York Stock Exchange
MGI,7/12/22,Moneygram International Inc.,Credit Services,Financial Services,Nasdaq Global Select
MGIC,7/12/22,Magic Software Enterprises Ltd.,Application Software,Technology,Nasdaq Global Select
MGLN,7/12/22,Magellan Health Inc.,Health Care Plans,Healthcare,Nasdaq Global Select
MGM,7/12/22,MGM Resorts International,Travel & Leisure,Consumer Cyclical,New York Stock Exchange
MGNX,7/12/22,MacroGenics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
MGP,7/12/22,MGM Growth Properties LLC Class A representing limited liability company interests,REITs,Real Estate,New York Stock Exchange
MGPI,7/12/22,MGP Ingredients Inc.,Consumer Packaged Goods,Consumer Defensive,Nasdaq Global Select
MGRC,7/12/22,McGrath RentCorp,Consulting & Outsourcing,Industrials,Nasdaq Global Select
MGTA,7/12/22,Magenta Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Global Market
MGTX,7/12/22,MeiraGTx Holdings plc,Biotechnology,Healthcare,Nasdaq Global Select
MGU,7/12/22,Macquarie Global Infrastructure Total Return Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MGY,7/12/22,Magnolia Oil & Gas Corporation Class A,Oil & Gas - E&P,Energy,New York Stock Exchange
MGYR,7/12/22,Magyar Bancorp Inc.,Banks,Financial Services,NASDAQ Global Market
MHD,7/12/22,Blackrock MuniHoldings Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MHE,7/12/22,BlackRock Massachusetts Tax-Exempt Trust,Asset Management,Financial Services,New York Stock Exchange
MHF,7/12/22,Western Asset Municipal High Income Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MHH,7/12/22,Mastech Digital Inc,Employment Services,Industrials,NYSE American
MHI,7/12/22,Pioneer Municipal High Income Trust of Beneficial Interest,Asset Management,Financial Services,New York Stock Exchange
MHK,7/12/22,Mohawk Industries Inc.,Manufacturing - Apparel & Furniture,Consumer Cyclical,New York Stock Exchange
MHLD,7/12/22,Maiden Holdings Ltd.,Insurance - Specialty,Financial Services,Nasdaq Global Select
MHN,7/12/22,Blackrock MuniHoldings New York Quality Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
