ticker,date,company name,industry,sector,description,exchange,market cap,website,ceo
FTFT,26-Jun-08,Future FinTech Group Inc.,Beverages - Non-Alcoholic,Consumer Defensive,"Future FinTech Group Inc is a holding company. The Company is engaged in the production and sale of fruit juice concentrates, fruit beverages and other fruit-related products.",NASDAQ Capital Market,25471229,http://www.skypeoplefruitjuice.com,Yongke Xue
BTG,26-Jun-08,B2Gold Corp (Canada),Metals & Mining,Basic Materials,"B2Gold Corp is a Vancouver-based gold producer with five operating mines, one in Mali, one inNamibia, one in the Philippines and two in Nicaragua and a portfolio of other evaluation and exploration assets.",NYSE American,3103220381,http://www.b2gold.com,Clive Johnson
ALO,26-Jun-08,Alio Gold Inc. (Canada),Metals & Mining,Basic Materials,"Alio Gold Inc is a gold mining company. It is engaged in exploration, development and production in Mexico. Its projects include San Francisco mine in Sonora, Mexico and the development stage Ana Paula project in Guerrero, Mexico.",NYSE American,68612786,http://www.aliogold.com,Greg McCunn
CDXC,25-Jun-08,ChromaDex Corporation,Biotechnology,Healthcare,"ChromaDex Corp is a natural products company. The company discovers, acquires, develops and commercializes patented and proprietary ingredient technologies that address the dietary supplement, food, beverage, skincare and pharmaceutical markets.",NASDAQ Capital Market,187348446,http://www.chromadex.com,Robert N. Fried
CRHM,24-Jun-08,CRH Medical Corporation of Beneficial Interest,Medical Instruments & Equipment,Healthcare,CRH Medical Corp provides anesthesiology services to gastroenterologists in the United States through its subsidiaries and also specializes in the treatment of hemorrhoids utilizing its treatment protocol and patented proprietary technology.,NYSE American,243038521,http://investors.crhsystem.com,Edward Wright
HPJ,19-Jun-08,Highpower International Inc,Computer Hardware,Technology,"Highpower International Inc is mainly involved in the production of lithium batteries, which are used for a variety of applications such as mobile devices and wireless communication products. It sells mainly in the Chinese market.",NASDAQ Global Market,46678974,http://www.highpowertech.com,Dang Yu Pan
OCSL,12-Jun-08,Oaktree Specialty Lending Corporation,Credit Services,Financial Services,Oaktree Specialty Lending Corp is a specialty finance company. It focuses on providing customized one-stop credit solutions to companies with limited access to public or syndicated capital markets.,Nasdaq Global Select,691411993,https://www.oaktreespecialtylending.com,Edgar Lee
BKJ,3-Jun-08,Bancorp of New Jersey Inc,Banks,Financial Services,"Bancorp of New Jersey Inc is a bank holding company for Bank of New Jersey. It provides traditional commercial banking, accepting deposits from the general public, individuals, businesses, non-profit organizations and governmental units.",NYSE American,97978108,http://www.bonj.net,
SB,30-May-08,Safe Bulkers Inc ($0.001 par value),Transportation & Logistics,Industrials,Safe Bulkers Inc rents its fleet of dry-bulk vessels on spot and time charters. The company through a private corporation manages and operates its vessels.,New York Stock Exchange,169613049,http://www.safebulkers.com,Polys Hajioannou
HMTA,23-May-08,HomeTown Bankshares Corporation,Banks,Financial Services,"HomeTown Bankshares Corp is a bank holding company. The company through its holding provides banking services to individuals, small and medium-sized businesses, and larger companies.",NASDAQ Capital Market,79884599,https://www.hometownbank.com,Susan King Still
SINO,21-May-08,Sino-Global Shipping America Ltd.,Transportation & Logistics,Industrials,"Sino-Global Shipping America Ltd is a shipping agency and logistic service provider. It provides ship owners, operators and charters with comprehensive and customized shipping agency and logistic services.",NASDAQ Capital Market,10526470,http://www.sino-global.com,Lei Cao
